primary_id,value,timestamp
bjn2p3tp0jt000a5eiug,75.56,1659553107967
bjn2p3tp0jt000a5eiug,76.91,1659554050747
bjn2p3tp0jt000a5eiug,77.09,1659554992849
bjn2p3tp0jt000a5eiug,77.54,1659555934492
bjn2p3tp0jt000a5eiug,78.44,1659556874453
bjn2p3tp0jt000a5eiug,78.89,1659557813723
bjn2p3tp0jt000a5eiug,78.71,1659558752210
bjn2p3tp0jt000a5eiug,77.99,1659559691963
bjn2p3tp0jt000a5eiug,78.08,1659560631733
bjn2p3tp0jt000a5eiug,78.44,1659561571297
bjn2p3tp0jt000a5eiug,78.71,1659562510822
bjn2p3tp0jt000a5eiug,78.35,1659563449592
bjn2p3tp0jt000a5eiug,78.71,1659564389064
bjn2p3tp0jt000a5eiug,78.62,1659565328379
bjn2p3tp0jt000a5eiug,77.99,1659566267826
bjn2p3tp0jt000a5eiug,78.35,1659567207771
bjn2p3tp0jt000a5eiug,78.08,1659568147873
bjn2p3tp0jt000a5eiug,77.63,1659569088888
bjn2p3tp0jt000a5eiug,77.63,1659570030335
bjn2p3tp0jt000a5eiug,77.45,1659570971460
bjn2p3tp0jt000a5eiug,77.63,1659571913961
bjn2p3tp0jt000a5eiug,77.63,1659572855364
bjn2p3tp0jt000a5eiug,77.36,1659573796595
bjn2p3tp0jt000a5eiug,77.36,1659574736476
bjn2p3tp0jt000a5eiug,77.27,1659575678577
bjn2p3tp0jt000a5eiug,77,1659576619085
bjn2p3tp0jt000a5eiug,77.18,1659577562088
bjn2p3tp0jt000a5eiug,77.45,1659578502596
bjn2p3tp0jt000a5eiug,77.18,1659579444750
bjn2p3tp0jt000a5eiug,77.09,1659580388188
bjn2p3tp0jt000a5eiug,77,1659581329858
bjn2p3tp0jt000a5eiug,76.64,1659582271709
bjn2p3tp0jt000a5eiug,76.73,1659583212486
bjn2p3tp0jt000a5eiug,77,1659584155087
bjn2p3tp0jt000a5eiug,77,1659585096986
bjn2p3tp0jt000a5eiug,76.82,1659586040088
bjn2p3tp0jt000a5eiug,76.55,1659586980961
bjn2p3tp0jt000a5eiug,77.18,1659587924552
bjn2p3tp0jt000a5eiug,76.91,1659588865474
bjn2p3tp0jt000a5eiug,76.55,1659589807322
bjn2p3tp0jt000a5eiug,76.73,1659590751341
bjn2p3tp0jt000a5eiug,76.64,1659591692170
bjn2p3tp0jt000a5eiug,76.64,1659592634948
bjn2p3tp0jt000a5eiug,76.55,1659593578969
bjn2p3tp0jt000a5eiug,76.55,1659594521339
bjn2p3tp0jt000a5eiug,77,1659595462678
bjn2p3tp0jt000a5eiug,76.37,1659596406581
bjn2p3tp0jt000a5eiug,76.82,1659597348077
bjn2p3tp0jt000a5eiug,76.55,1659598291984
bjn2p3tp0jt000a5eiug,76.64,1659599233096
bjn2p3tp0jt000a5eiug,76.82,1659600176869
bjn2p3tp0jt000a5eiug,76.37,1659601118180
bjn2p3tp0jt000a5eiug,76.55,1659602062832
bjn2p3tp0jt000a5eiug,76.82,1659603005236
bjn2p3tp0jt000a5eiug,76.82,1659603947837
bjn2p3tp0jt000a5eiug,76.73,1659604888834
